Team Name,Team ID
100 Thieves,2146
A One Man Army,2407
Aegis,2229
Akroma,2231
All for One Gaming,2397
All Knights,2216
aNc Outplayed,2245
Ankora Gaming,2312
Anorthosis Famagusta Esports,2302
Antic Esports,2331
Anubis Gaming,2384
Anyone s Legend,2141
AOE Esports,2378
Ascendance,2458
Atleta Esport,2409
Austrian Force willhaben,2392
AXIZ CREST,2185
Axolotl,2240
Back2TheGame,2432
Barça eSports,2261
BeFive,2465
Berlin International Gaming,2247
Besiktas Esports,2195
Beyond Gaming,2201
Bilibili Gaming,2138
BK ROG Esports,2339
BoostGate Esports,2431
BRO Challengers,2268
BRUTE,2317
Burning Core Toyama,2186
BWE Esports,2278
Case Esports,2364
Cerberus Esports,2211
Cincinnati Fear,2379
Cloud9,2147
Comanchero Gaming,2457
Crvena zvezda Esports,2313
CTBC Flying Oyster,2204
Cyber Wolves,2336
Dango,2440
Dark Passage,2196
Deep Cross Gaming,2209
Detonation FocusMe,2188
devils.one,2433
Diamant Esports,2311
Dignitas,2149
Dire Wolves,2325
Direct Rising eSports,2404
Disguised,2414
DK Challengers,2266
DKB Diamonds,2393
DMG Esports,2287
Dplus KIA,2118
DREN Esports,2334
DRX,2119
DRX Challengers,2267
Dsyre Esports,2244
Dynamo Eclot,2337
Dynasty,2236
E WIE EINFACH E-SPORTS,2248
ECORP,2439
Edward Gaming,2136
EGN Esports,2275
Eintracht Frankfurt,2335
Eintracht Spandau,2249
EKO Academy,2241
ENEMI3S,2418
Entropiq,2321
EPIC-DUDES,2394
eSports Cologne GAMERS ONLY,2398
Esprit Shonen,2444
Estral Esports,2217
eSuba,2318
Europe Saviors Club,2463
FC Schalke 04 Evolution,2250
FearX,2124
FearX Challengers,2271
Flamengo Academy,2466
Fluxo,2183
Fluxo Academy,2296
FlyQuest,2151
FlyQuest Challengers,2161
Fnatic,2168
Forsaken,2116
Fox Gaming,2385
Frank Esports,2207
Funplus Phoenix,2130
FURIA Academy,2290
FURIA Esports,2177
FURY Global,2330
FUT Esports,2193
G2 Esports,2169
Galakticos,2197
GAM Esports,2212
Gamespace Mediterranean College Esports,2308
GameWard,2226
Geekay Esports,2388
Gen.G Challengers,2121
Gen.G eSports,2145
Gentle Mates,2228
GIANTX,2167
GIANTX Pride,2264
GLORE,2462
GnG Amazigh,2387
Ground Zero Gaming,2329
GRP Esports,2298
GTZ Esports,2277
Guasones,2367
Hallow Crows,2454
Hanwha Life eSports,2122
HELL PIGS,2208
Hell Zerolag Esports,2303
Heracles Gaming,2438
Heretics Academy,2257
HLE Challengers,2269
Hurricane of Feathers,2448
Ici Japon Corp. Esport,2443
Immortals,2153
Infinity eSports,2219
INTZ Academy,2291
INTZ e-Sports,2178
Invictus Gaming,2131
ION Global Esports,2412
Iron Wolves,2316
Isurus,2220
IZI Dream,2442
J Team,2206
JD Gaming,2129
Joblife,2347
KaBuM! Academy,2292
KaBuM! e-Sports,2179
Kanga Esports,2327
Karmine Corp,2166
Karmine Corp Blue,2227
Kaufland Hangry Knights,2396
KDF Challengers,2265
Keypulse Esports,2447
Kim Esports,2455
Klanik Esport,2346
KRC Genk Esports,2237
KT Challengers,2270
KT Rolster,2123
Kwangdong Freecs,2117
Leviatan,2411
LGD Gaming,2132
Liberty,2184
Liberty Academy,2297
Lille Esport,2345
Lionscreed,2410
LiT Esports,2446
LNG Esports,2139
Los Grandes,2176
Los Grandes Academy,2289
LOUD,2180
LOUD Academy,2293
LUA Gaming,2437
Lundqvist Lightside,2283
Lupus Esports,2464
Lynch Esports,2456
Macko Esports,2243
MAD Lions KOI,2170
MAMMOTH,2328
Maryville University,2415
mCon esports,2239
MGN Blue Esports,2376
MHSC Esport,2402
Mirage Alliance,2445
Misa Esports,2430
MOUZ NXT,2252
Movistar KOI,2258
Movistar R7,2222
Mubeccel Espor,2459
Myth Esports,2406
NASR eSports Turkey,2199
Nativz,2282
Nigma Galaxy Male,2386
Ninjas in Pyjamas,2133
NNO Prime,2253
NONAME,2451
Nongshim RedForce,2125
Nord Esports,2281
NRG,2403
NS Challengers,2272
Odivelas Sports Club,2274
OGC Sigma Esports,2461
OK BRION,2120
OMG,2140
Once Upon A Team,2235
One More Esports,2429
Orbit Anonymo,2315
Oxygen Kumiho,2436
paiN Academy,2294
paiN Gaming,2181
Papara SuperMassive,2200
Partizan Esports,2374
PCIFIC Espor,2452
Phoenix Esports,2453
PRINCIPALITY,2435
Project Conquerors,2343
PSG Talon,2210
RA AD,2389
Rainbow Warriors,2214
Ramboot Club,2370
Rare Atom,2137
Rebels Gaming,2259
RED Academy,2295
RED Canids,2182
Rogue,2172
ROSSMANN Centaurs,2405
Royal Never Give Up,2135
Ruddy Esports,2284
SAW,2449
Sengoku Gaming,2191
Shopify Rebellion,2155
Six Karma,2223
SK Gaming,2173
SK Gaming Prime,2254
SNOOZE Esports,2233
SoftBank Hawks Gaming,2189
Solary,2230
SPIKE Syndicate,2408
Spinebusters E-Sport,2395
Stormbringers,2434
Supernova,2416
T1,2144
T1 Challengers,2126
Team BDS,2349
Team BDS Academy,2224
Team Bliss,2326
Team du Sud,2341
Team ESCA Gaming,2300
Team Flash,2375
Team GO,2225
Team Heretics,2171
Team Legion,2305
Team Liquid,2154
Team Liquid Challengers,2164
Team Phantasma,2306
Team Refuse,2348
Team Secret,2215
Team UNiTY,2460
Team Vitality,2174
Team WE,2134
Team Whales,2377
TeamOrangeGaming,2400
Top Esports,2128
Tropa XV,2467
TT,2143
Twisted Minds,2428
UCAM Tokiers,2263
Ultra Prime,2142
Unicorns Of Love Sexy Edition,2255
V3 Esports,2192
Venomcrest Esports,2286
Venus,2450
Verdant,2285
Vikings Esports,2213
Vitality.Bee,2232
Vivo Keyd Stars,2175
Vivo Keyd Stars Academy,2288
Weibo Gaming,2127
WeSports,2401
West Point Esports,2420
White Dragons,2280
Wild Panthers Esports,2382
Wildcard Gaming,2362
WLGaming Esports,2304
Xoldiers,2365
